num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*
9;  0.0100;3;41;  0.3090;   99.2;   98.8;  6.58e-02
9;  0.0100;7;1375;  0.0280;   97.2;   99.2;  8.31e-02
9;  0.1000;1;29;  0.1620;   99.2;   98.4;  1.62e-01
9;  0.1000;3;16;  0.1670;   99.2;   98.4;  1.62e-01
9;  0.1000;7;3625;  0.0700;   98.8;   99.2;  1.63e-01
0;  0.0000;1;383;21.39;  100.0;   99.6;  1.22e-06
0;  0.0000;3;15;  0.0880;  100.0;   98.0;  7.39e-08
0;  0.0000;7;1375;  0.0290;   99.6;   99.6;  5.49e-03
0;  0.0100;1;151;  0.7860;   99.6;   99.6;  5.55e-02
0;  0.0100;3;43;  0.3830;   99.6;   99.6;  5.55e-02
0;  0.0100;7;1375;  0.0310;   98.8;   99.2;  6.99e-02
0;  0.1000;1;50;  0.3060;   99.6;   99.2;  1.48e-01
0;  0.1000;3;19;  0.1720;   99.6;   99.2;  1.48e-01
0;  0.1000;7;1625;  0.0430;   99.6;   99.6;  1.49e-01
